claim_id,claim_amount,days_to_file,channel,policy_tenure_yrs,has_prior_claims,region,vehicle_age_yrs,claim_type,is_fraud
1,1045.9086352499746,25,phone,12.44700941488299,0,NL-South,9.048557228503713,weather,0
2,1417.6727948929326,7,phone,3.1865725344408924,1,NL-South,14.452712175692714,collision,0
3,918.6077901535689,12,agent,11.737619768912518,0,NL-West,9.718711391604941,weather,0
4,822.5352112505503,42,online,12.918786255412096,0,NL-South,13.256328346570076,collision,0
5,1539.6276647774503,10,online,13.149613593146519,0,NL-North,5.2621982316301175,collision,0
6,876.6867705452536,7,agent,7.135776703697647,0,NL-East,10.834028096450673,collision,0
7,1173.0025394870238,3,agent,6.43219459674939,0,NL-North,9.359915044814443,collision,0
8,1094.7430491468708,1,agent,12.506866951961046,1,NL-East,6.043925856985178,collision,0
9,1538.7067958119608,26,agent,8.692338344262211,1,NL-West,1.2462400036734689,theft,0
10,719.6102523263527,29,phone,9.319152472327925,1,NL-South,10.203827945573723,collision,0
11,1897.7919270831776,37,phone,3.5410068181293224,1,NL-North,0.19510122416198872,collision,1
12,586.2991415994425,34,agent,6.6923552130391,1,NL-West,7.796605069557443,collision,0
13,1226.3265305458333,32,online,5.541733321001805,1,NL-East,7.41309805317651,collision,0
14,1129.1509852450451,59,agent,9.979823386320511,1,NL-North,12.675065042668056,theft,0
15,544.4861658024283,14,agent,2.9472492002879402,1,NL-North,19.748578722816006,collision,0
16,1297.5373726355506,42,agent,6.08627890083433,1,NL-South,17.16002397730216,collision,0
17,761.9233470813439,4,online,12.730980884972364,0,NL-East,19.501676224217196,collision,0
18,406.38846652673186,50,online,8.196685156327984,1,NL-West,19.018741686706903,collision,0
19,1411.0626752789556,21,phone,13.440659659872178,0,NL-North,1.482254835161192,weather,0
20,282.9018291415836,20,phone,3.4879116593502104,0,NL-North,5.638947682387833,theft,0
21,473.33776153055334,8,agent,6.598550048974043,1,NL-East,5.9397516137992,theft,0
22,910.9457518286307,30,online,7.506243347926577,0,NL-North,1.4204109094887274,collision,0
23,1531.8953099805742,23,agent,6.008511109592795,1,NL-South,16.933011529666203,collision,1
24,1352.8795072230803,58,agent,10.267403435212955,1,NL-East,17.906586723527823,theft,0
25,1034.237441660532,10,online,2.2307971739020553,0,NL-West,12.099479973409737,glass,0
26,202.24586056549956,25,agent,7.791005852577865,0,NL-North,17.81981853888089,collision,0
27,565.0913407652641,54,agent,2.081585257140138,0,NL-East,14.287383277157362,theft,1
28,668.0482020805796,48,agent,9.437962331813322,0,NL-East,8.8110788629137,collision,0
29,390.0749908406708,45,agent,12.453721999117006,0,NL-South,2.9972879190498647,glass,0
30,150.68907826045555,31,phone,0.29995570040346087,1,NL-East,19.169933311075916,collision,0
31,942.866585137168,52,agent,6.854043325559017,0,NL-East,13.845574010613003,collision,0
32,1381.895991034936,13,online,7.390553877154428,0,NL-South,7.083678179225101,collision,0
33,627.8921441278931,48,phone,10.803813159797059,0,NL-West,2.572005316633297,weather,0
34,1518.90104535828,34,online,1.1207989796255369,1,NL-North,15.979395280111797,weather,0
35,251.33138154005823,20,agent,6.09031171905144,1,NL-South,16.040299553866,weather,0
36,369.5783247471254,13,phone,11.782218467588338,0,NL-East,10.860183643564486,weather,0
37,928.6910416555685,31,agent,7.982168422663115,0,NL-South,19.99914182560181,collision,0
